ID,BID,ASK,DATE
EURCHF,1.2121,1.21228,20140814204000,
GBPCHF,1.51146,1.51176,20140814204000,
AUDCHF,0.84403,0.84433,20140814204000,
CADCHF,0.83139,0.83199,20140814204000,
USDHKD,7.75099,7.75129,20140814204000,
USDJPY,102.424,102.428,20140814204017,
EURJPY,137.024,137.034,20140814204017,
AUDJPY,95.426,95.435,20140814204017,
GBPJPY,170.867,170.885,20140814204017,
NZDJPY,87.037,87.055,20140814204017,
CADJPY,94.002,94.026,20140814204017,
CHFJPY,113.027,113.051,20140814204017,
ZARJPY,9.68,9.699,20140814204017,
CNHJPY,16.635,16.665,20140814204017,
EURUSD,1.33778,1.33786,20140814204017,
GBPUSD,1.66818,1.66843,20140814204017,
AUDUSD,0.93161,0.93179,20140814204017,
NZDUSD,0.84956,0.84986,20140814204017,
HKDJPY,13.199,13.229,20140814204017,
EURGBP,0.80182,0.802,20140814204017,
EURAUD,1.43578,1.43601,20140814204017,
USDCHF,0.90603,0.90621,20140814204017,
EURCHF,1.21212,1.2123,20140814204017,
GBPCHF,1.5115,1.5118,20140814204017,
AUDCHF,0.84407,0.84437,20140814204017,
CADCHF,0.83139,0.83199,20140814204017,
USDHKD,7.75099,7.75129,20140814204017,
USDJPY,102.421,102.425,20140814204033,
EURJPY,137.009,137.019,20140814204033,
AUDJPY,95.426,95.435,20140814204033,
GBPJPY,170.866,170.884,20140814204033,
NZDJPY,87.035,87.053,20140814204033,
CADJPY,93.999,94.023,20140814204033,
CHFJPY,113.018,113.042,20140814204033,
ZARJPY,9.68,9.699,20140814204033,
CNHJPY,16.635,16.665,20140814204033,
EURUSD,1.33765,1.33773,20140814204033,
GBPUSD,1.66819,1.66844,20140814204033,
AUDUSD,0.93161,0.93179,20140814204033,
NZDUSD,0.84954,0.84984,20140814204033,
HKDJPY,13.199,13.229,20140814204033,
EURGBP,0.80173,0.80191,20140814204033,
EURAUD,1.43565,1.43588,20140814204033,
USDCHF,0.90608,0.90626,20140814204033,
EURCHF,1.2121,1.21228,20140814204033,
GBPCHF,1.51164,1.51194,20140814204033,
AUDCHF,0.84414,0.84444,20140814204033,
CADCHF,0.83143,0.83203,20140814204033,
USDHKD,7.75099,7.75129,20140814204033,
USDJPY,102.421,102.425,20140814204050,
EURJPY,137.009,137.019,20140814204050,
AUDJPY,95.423,95.432,20140814204050,
GBPJPY,170.864,170.882,20140814204050,
NZDJPY,87.034,87.052,20140814204050,
CADJPY,93.996,94.02,20140814204050,
CHFJPY,113.021,113.045,20140814204050,
ZARJPY,9.676,9.695,20140814204050,
CNHJPY,16.634,16.664,20140814204050,
EURUSD,1.33768,1.33776,20140814204050,
GBPUSD,1.66817,1.66842,20140814204050,
AUDUSD,0.93158,0.93176,20140814204050,
NZDUSD,0.84954,0.84984,20140814204050,
HKDJPY,13.199,13.229,20140814204050,
EURGBP,0.80174,0.80192,20140814204050,
EURAUD,1.43571,1.43594,20140814204050,
USDCHF,0.90606,0.90624,20140814204050,
EURCHF,1.2121,1.21228,20140814204050,
GBPCHF,1.5116,1.5119,20140814204050,
AUDCHF,0.84412,0.84442,20140814204050,
CADCHF,0.83141,0.83201,20140814204050,
USDHKD,7.75099,7.75129,20140814204050,
USDJPY,102.42,102.424,20140814204107,
EURJPY,137.008,137.018,20140814204107,
AUDJPY,95.419,95.428,20140814204107,
GBPJPY,170.864,170.882,20140814204107,
NZDJPY,87.034,87.052,20140814204107,
CADJPY,93.993,94.017,20140814204107,
CHFJPY,113.016,113.04,20140814204107,
ZARJPY,9.678,9.697,20140814204107,
CNHJPY,16.634,16.664,20140814204107,
EURUSD,1.33768,1.33776,20140814204107,
GBPUSD,1.66821,1.66846,20140814204107,
AUDUSD,0.93157,0.93175,20140814204107,
NZDUSD,0.84955,0.84985,20140814204107,
HKDJPY,13.198,13.228,20140814204107,
EURGBP,0.80174,0.80192,20140814204107,
EURAUD,1.43576,1.43599,20140814204107,
USDCHF,0.90606,0.90624,20140814204107,
EURCHF,1.21209,1.21227,20140814204107,
GBPCHF,1.5116,1.5119,20140814204107,
AUDCHF,0.84408,0.84438,20140814204107,
CADCHF,0.83138,0.83198,20140814204107,
USDHKD,7.75099,7.75129,20140814204107,
USDJPY,102.419,102.423,20140814204123,
EURJPY,137.006,137.016,20140814204123,
AUDJPY,95.419,95.428,20140814204123,
GBPJPY,170.859,170.877,20140814204123,
NZDJPY,87.034,87.052,20140814204123,
CADJPY,93.999,94.023,20140814204123,
CHFJPY,113.017,113.041,20140814204123,
ZARJPY,9.678,9.697,20140814204123,
CNHJPY,16.634,16.664,20140814204123,
EURUSD,1.33769,1.33777,20140814204123,
GBPUSD,1.66815,1.6684,20140814204123,
AUDUSD,0.93158,0.93176,20140814204123,
NZDUSD,0.84955,0.84985,20140814204123,
HKDJPY,13.198,13.228,20140814204123,
EURGBP,0.80178,0.80196,20140814204123,
EURAUD,1.43574,1.43597,20140814204123,
USDCHF,0.90606,0.90624,20140814204123,
EURCHF,1.2121,1.21228,20140814204123,
GBPCHF,1.51155,1.51185,20140814204123,
AUDCHF,0.84408,0.84438,20140814204123,
CADCHF,0.83144,0.83204,20140814204123,
USDHKD,7.75099,7.75129,20140814204123,
USDJPY,102.415,102.419,20140814204139,
EURJPY,136.999,137.009,20140814204139,
AUDJPY,95.413,95.422,20140814204139,
